General issue,ADVISORY,sdl_drv_port.c:44:0,"information: Include file: <stdint.h> not found. Please note: Cppcheck does not need standard library headers to get proper results. [missingIncludeSystem]"
General issue,ADVISORY,..\..\common\drv_common\sdl_drv_common.h:56:0,"information: Include file: <stdint.h> not found. Please note: Cppcheck does not need standard library headers to get proper results. [missingIncludeSystem]"
General issue,ADVISORY,..\..\common\drv_common\sdl_drv_common.h:57:0,"information: Include file: <stddef.h> not found. Please note: Cppcheck does not need standard library headers to get proper results. [missingIncludeSystem]"
General issue,ADVISORY,..\..\common\drv_common\sdl_drv_common.h:58:0,"information: Include file: "sdl/systick/drv_systick/sdl_drv_systick.h" not found. [missingInclude]"
General issue,ADVISORY,..\..\common\drv_common\sdl_drv_common.h:59:0,"information: Include file: "sdl/common/sdl_common.h" not found. [missingInclude]"
General issue,ADVISORY,sdl_drv_port.h:58:0,"information: Include file: <stddef.h> not found. Please note: Cppcheck does not need standard library headers to get proper results. [missingIncludeSystem]"
General issue,ADVISORY,sdl_drv_port.h:59:0,"information: Include file: <stdbool.h> not found. Please note: Cppcheck does not need standard library headers to get proper results. [missingIncludeSystem]"
General issue,ADVISORY,sdl_drv_port.h:60:0,"information: Include file: <stdint.h> not found. Please note: Cppcheck does not need standard library headers to get proper results. [missingIncludeSystem]"
General issue,ADVISORY,..\..\sdl_includes.h:57:0,"information: Include file: "device.h" not found. [missingInclude]"
General issue,ADVISORY,sdl_drv_port.c:1146:43,"style: Condition '(sdlPortAMask&mask)!=0U' is always false [knownConditionTrueFalse]"
General issue,ADVISORY,sdl_drv_port.c:1153:43,"style: Condition '(sdlPortBMask&mask)!=0U' is always false [knownConditionTrueFalse]"
General issue,ADVISORY,sdl_drv_port.c:1159:43,"style: Condition '(sdlPortCMask&mask)!=0U' is always false [knownConditionTrueFalse]"
General issue,ADVISORY,sdl_drv_port.c:1167:43,"style: Condition '(sdlPortDMask&mask)!=0U' is always false [knownConditionTrueFalse]"
General issue,ADVISORY,sdl_drv_port.c:848:73,"style: Operator '|' with one operand equal to zero is redundant. [badBitmaskCheck]"
General issue,ADVISORY,sdl_drv_port.c:859:73,"style: Operator '|' with one operand equal to zero is redundant. [badBitmaskCheck]"
General issue,ADVISORY,sdl_drv_port.c:869:73,"style: Operator '|' with one operand equal to zero is redundant. [badBitmaskCheck]"
General issue,ADVISORY,sdl_drv_port.c:879:74,"style: Operator '|' with one operand equal to zero is redundant. [badBitmaskCheck]"
8.9,ADVISORY,sdl_drv_port.c:848:23,"An object should be defined at block scope if its identifier only appears in a single function"
8.9,ADVISORY,sdl_drv_port.c:859:23,"An object should be defined at block scope if its identifier only appears in a single function"
8.9,ADVISORY,sdl_drv_port.c:869:23,"An object should be defined at block scope if its identifier only appears in a single function"
8.9,ADVISORY,sdl_drv_port.c:879:23,"An object should be defined at block scope if its identifier only appears in a single function"
8.11,ADVISORY,sdl_drv_port.h:79:33,"When an array with external linkage is declared, its size should be explicitly specified"
17.8,ADVISORY,sdl_drv_port.c:1138:17,"A function parameter should not be modified"
General issue,ADVISORY,sdl_drv_port.c:1076:0,"style: The function 'SDL_DRV_PORT_GetPortGroupAddress' is never used. [unusedFunction]"
General issue,ADVISORY,sdl_drv_port.c:1101:0,"style: The function 'SDL_DRV_PORT_IsPortValid' is never used. [unusedFunction]"
General issue,ADVISORY,sdl_drv_port.c:1134:0,"style: The function 'SDL_DRV_PORT_IsPinValid' is never used. [unusedFunction]"
General issue,ADVISORY,sdl_drv_port.c:1202:0,"style: The function 'SDL_DRV_PORT_DirSet' is never used. [unusedFunction]"
General issue,ADVISORY,sdl_drv_port.c:1228:0,"style: The function 'SDL_DRV_PORT_DirClr' is never used. [unusedFunction]"
General issue,ADVISORY,sdl_drv_port.c:1254:0,"style: The function 'SDL_DRV_PORT_OutSet' is never used. [unusedFunction]"
General issue,ADVISORY,sdl_drv_port.c:1280:0,"style: The function 'SDL_DRV_PORT_OutClr' is never used. [unusedFunction]"
General issue,ADVISORY,sdl_drv_port.c:1304:0,"style: The function 'SDL_DRV_PORT_DirRead' is never used. [unusedFunction]"
General issue,ADVISORY,sdl_drv_port.c:1328:0,"style: The function 'SDL_DRV_PORT_PinRead' is never used. [unusedFunction]"
General issue,ADVISORY,sdl_drv_port.c:1355:0,"style: The function 'SDL_DRV_PORT_PullupEnable' is never used. [unusedFunction]"
