General issue,ADVISORY,sdl_drv_systick.c:41:0,"information: Include file: "device.h" not found. [missingInclude]"
General issue,ADVISORY,sdl_drv_systick.h:44:0,"information: Include file: <stdint.h> not found. Please note: Cppcheck does not need standard library headers to get proper results. [missingIncludeSystem]"
General issue,ADVISORY,sdl_drv_systick.h:45:0,"information: Include file: <stdbool.h> not found. Please note: Cppcheck does not need standard library headers to get proper results. [missingIncludeSystem]"
General issue,ADVISORY,sdl_drv_systick.h:46:0,"information: Include file: <stddef.h> not found. Please note: Cppcheck does not need standard library headers to get proper results. [missingIncludeSystem]"
General issue,ADVISORY,sdl_drv_systick.c:50:14,"style: The scope of the variable 'deltaCount' can be reduced. [variableScope]"
General issue,ADVISORY,sdl_drv_systick.c:50:26,"style: The scope of the variable 'oldCount' can be reduced. [variableScope]"
General issue,ADVISORY,sdl_drv_systick.c:50:36,"style: The scope of the variable 'newCount' can be reduced. [variableScope]"
General issue,ADVISORY,sdl_drv_systick.c:99:14,"style: The scope of the variable 'deltaCount' can be reduced. [variableScope]"
General issue,ADVISORY,sdl_drv_systick.c:95:60,"style: Parameter 'timeout' can be declared as pointer to const [constParameterPointer]"
12.3,ADVISORY,sdl_drv_systick.c:49:29,"The comma operator should not be used"
12.3,ADVISORY,sdl_drv_systick.c:50:24,"The comma operator should not be used"
General issue,ADVISORY,sdl_drv_systick.c:47:0,"style: The function 'SDL_DRV_SYSTICK_DelayUs' is never used. [unusedFunction]"
General issue,ADVISORY,sdl_drv_systick.c:81:0,"style: The function 'SDL_DRV_SYSTICK_StartTimeOut' is never used. [unusedFunction]"
General issue,ADVISORY,sdl_drv_systick.c:95:0,"style: The function 'SDL_DRV_SYSTICK_IsTimeoutReached' is never used. [unusedFunction]"
General issue,ADVISORY,sdl_drv_systick.c:130:0,"style: The function 'SDL_DRV_SYSTICK_Callback' is never used. [unusedFunction]"
